ip,date,time,cik,accession,extention,code,size,norefer,noagent,find,browser
66.180.170.jbf,12/31/2006,00:00:56,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:57,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:57,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:58,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:58,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:14,1139812,0001127602-06-002999,form4.xml,200,14180,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:16,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:17,1001258,0001125282-06-008176,form.xml,200,5536,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:17,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:18,319201,0001209191-06-067486,bpa26163_bpa1jk.xml,200,19053,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:21,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:22,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:23,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:42,1001258,0001125282-06-008176,form.xml,200,5536,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:43,1104734,0001328715-06-000039,.txt,200,3572,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:44,1063561,0001179110-06-024474,edgar.xml,200,11560,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:44,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:45,1108699,0001019687-06-003189,edgar.xml,200,5375,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:47,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:47,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:48,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:49,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:01:49,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:05,1139812,0001127602-06-002999,form4.xml,200,14180,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:05,932111,0001184236-06-000027,edgar.xml,200,3893,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:05,932111,0001184236-06-000027,.txt,200,3337,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:06,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:07,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:07,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:07,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:08,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:08,1104734,0001328715-06-000039,primary_doc.xml,200,5897,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:08,1104734,0001328715-06-000039,.txt,200,3572,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:08,1001258,0001125282-06-008176,form.xml,200,5536,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:10,1063561,0001179110-06-024474,edgar.xml,200,11560,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:12,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:13,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:14,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:31,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:32,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:33,1104734,0001328715-06-000039,primary_doc.xml,200,5897,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:33,1104734,0001328715-06-000039,.txt,200,3572,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:33,1001258,0001125282-06-008176,.txt,200,3317,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:34,319201,0001209191-06-067486,bpa26163_bpa1jk.xml,200,19053,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:35,1063561,0001179110-06-024474,.txt,200,3430,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:36,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:36,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:37,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:38,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:39,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:39,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:39,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:56,1139812,0001127602-06-002999,form4.xml,200,14180,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:56,1139812,0001127602-06-002999,.txt,200,3373,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:58,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:59,319201,0001209191-06-067486,bpa26163_bpa1jk.xml,200,19053,1,0,0,lin
66.180.170.jbf,12/31/2006,00:02:59,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:00,319201,0001209191-06-067486,bpa26163_bpa1jk.xml,200,19053,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:00,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:01,1108699,0001019687-06-003189,edgar.xml,200,5375,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:01,1063561,0001179110-06-024474,edgar.xml,200,11560,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:03,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:21,932111,0001184236-06-000027,edgar.xml,200,3893,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:21,932111,0001184236-06-000027,.txt,200,3337,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:23,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:26,1063561,0001179110-06-024474,edgar.xml,200,11560,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:27,1108699,0001019687-06-003189,edgar.xml,200,5375,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:30,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:46,932111,0001184236-06-000027,edgar.xml,200,3893,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:47,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:47,1139812,0001127602-06-002999,form4.xml,200,14180,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:47,1139812,0001127602-06-002999,.txt,200,3373,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:48,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:48,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:49,1001258,0001125282-06-008176,.txt,200,3317,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:49,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:50,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:51,1063561,0001179110-06-024474,.txt,200,3430,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:52,1108699,0001019687-06-003189,.txt,200,3349,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:52,1063561,0001179110-06-024474,edgar.xml,200,11560,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:53,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:54,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:55,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:55,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:56,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:03:56,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:12,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:12,1139812,0001127602-06-002999,.txt,200,3373,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:13,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:14,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:14,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:15,1104734,0001328715-06-000039,primary_doc.xml,200,5897,1,0,0,lin
